timestamp,koridor,penumpang
2026-06-23T17:34:32.712165,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:32.902820,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:33.096029,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:33.281095,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:33.432298,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:33.632061,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:33.797439,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:33.984687,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:34.162442,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:34.343754,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:34.503975,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:34.698745,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:34.913956,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:35.108834,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:34:35.289304,Koridor 1: Purabaya - Rajawali,56
2026-06-23T17:36:05.104439,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:05.104439,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:06.742142,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:06.986847,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:07.110188,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:07.316930,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:07.537837,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:07.757961,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:07.893679,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:08.098621,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:08.326749,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:08.462786,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:08.677714,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:08.899824,Koridor 1: Purabaya - Rajawali,53
2026-06-23T17:36:09.044855,Koridor 1: Purabaya - Rajawali,53
